ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,detection,platforms,contributors,relationship citations
T0858,attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,Change Operating Mode,"Adversaries may change the operating mode of a controller to gain additional access to engineering functions such as Program Download.   Programmable controllers typically have several modes of operation that control the state of the user program and control access to the controllers API. Operating modes can be physically selected using a key switch on the face of the controller but may also be selected with calls to the controllers API. Operating modes and the mechanisms by which they are selected often vary by vendor and product line. Some commonly implemented operating modes are described below:  

* Program - This mode must be enabled before changes can be made to a devices program. This allows program uploads and downloads between the device and an engineering workstation. Often the PLCs logic Is halted, and all outputs may be forced off. (Citation: N.A. October 2017)  
* Run - Execution of the devices program occurs in this mode. Input and output (values, points, tags, elements, etc.) are monitored and used according to the programs logic. [Program Upload](https://attack.mitre.org/techniques/T0845) and [Program Download](https://attack.mitre.org/techniques/T0843) are disabled while in this mode. (Citation: Omron) (Citation: Machine Information Systems 2007)  (Citation: N.A. October 2017) (Citation: PLCgurus 2021)   
* Remote - Allows for remote changes to a PLCs operation mode. (Citation: PLCgurus 2021)    
* Stop - The PLC and program is stopped, while in this mode, outputs are forced off. (Citation: Machine Information Systems 2007)   
* Reset - Conditions on the PLC are reset to their original states. Warm resets may retain some memory while cold resets will reset all I/O and data registers. (Citation: Machine Information Systems 2007)   
* Test / Monitor mode - Similar to run mode, I/O is processed, although this mode allows for monitoring, force set, resets, and more generally tuning or debugging of the system. Often monitor mode may be used as a trial for initialization. (Citation: Omron)",https://attack.mitre.org/techniques/T0858,21 May 2020,16 April 2025,ics-attack,1.0,"Evasion, Execution",,None,,"(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),(Citation: MDudek-ICS),(Citation: Dragos-Pipedream),(Citation: Wylie-22),(Citation: Department of Homeland Security September 2016),,"
T0807,attack-pattern--24a9253e-8948-4c98-b751-8e2aee53127c,Command-Line Interface,"Adversaries may utilize command-line interfaces (CLIs) to interact with systems and execute commands. CLIs provide a means of interacting with computer systems and are a common feature across many types of platforms and devices within control systems environments. (Citation: Enterprise ATT&CK January 2018) Adversaries may also use CLIs to install and run new software, including malicious tools that may be installed over the course of an operation.

CLIs are typically accessed locally, but can also be exposed via services, such as SSH, Telnet, and RDP.  Commands that are executed in the CLI execute with the current permissions level of the process running the terminal emulator, unless the command specifies a change in permissions context. Many controllers have CLI interfaces for management purposes.",https://attack.mitre.org/techniques/T0807,21 May 2020,16 April 2025,ics-attack,1.1,Execution,,None,,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Dragos FROSTYGOOP 2024),(Citation: FireEye TRITON Dec 2017),(Citation: Mandiant-Sandworm-Ukraine-2022),(Citation: Nozomi BUSTLEBERM 2024),(Citation: ESET Industroyer),(Citation: Dragos October 2018),(Citation: Anton Cherepanov, ESET June 2017),,,"
T0885,attack-pattern--e6c31185-8040-4267-83d3-b217b8a92f07,Commonly Used Port,"Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity, to avoid more detailed inspection. They may use the protocol associated with the port, or a completely different protocol. They may use commonly open ports, such as the examples provided below. 
 
 * TCP:80 (HTTP) 
 * TCP:443 (HTTPS) 
 * TCP/UDP:53 (DNS) 
 * TCP:1024-4999 (OPC on XP/Win2k3) 
 * TCP:49152-65535 (OPC on Vista and later) 
 * TCP:23 (TELNET) 
 * UDP:161 (SNMP) 
 * TCP:502 (MODBUS) 
 * TCP:102 (S7comm/ISO-TSAP) 
 * TCP:20000 (DNP3) 
 * TCP:44818 (Ethernet/IP)",https://attack.mitre.org/techniques/T0885,21 May 2020,16 April 2025,ics-attack,1.1,Command and Control,,None,Matan Dobrushin - Otorio,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Dragos FROSTYGOOP 2024),(Citation: Booz Allen Hamilton),(Citation: MDudek-ICS),(Citation: Gardiner, J.,  Cova, M., Nagaraja, S February 2014),,"
T0884,attack-pattern--d67adac8-e3b9-44f9-9e6d-6c2a7d69dbe4,Connection Proxy,"Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications.

The definition of a proxy can also be expanded to encompass trust relationships between networks in peer-to-peer, mesh, or trusted connections between networks consisting of hosts or systems that regularly communicate with each other.

The network may be within a single organization or across multiple organizations with trust relationships. Adversaries could use these types of relationships to manage command and control communications, to reduce the number of simultaneous outbound network connections, to provide resiliency in the face of connection loss, or to ride over existing trusted communications paths between victims to avoid suspicion. (Citation: Enterprise ATT&CK January 2018)",https://attack.mitre.org/techniques/T0884,21 May 2020,16 April 2025,ics-attack,1.1,Command and Control,,None,,"(Citation: Booz Allen Hamilton),(Citation: Wylie-22),(Citation: Dragos Inc. June 2017),(Citation: Gardiner, J.,  Cova, M., Nagaraja, S February 2014),,"
T0879,attack-pattern--83ebd22f-b401-4d59-8219-2294172cf916,Damage to Property,"Adversaries may cause damage and destruction of property to infrastructure, equipment, and the surrounding environment when attacking control systems. This technique may result in device and operational equipment breakdown, or represent tangential damage from other techniques used in an attack. Depending on the severity of physical damage and disruption caused to control processes and systems, this technique may result in [Loss of Safety](https://attack.mitre.org/techniques/T0880). Operations that result in [Loss of Control](https://attack.mitre.org/techniques/T0827) may also cause damage to property, which may be directly or indirectly motivated by an adversary seeking to cause impact in the form of [Loss of Productivity and Revenue](https://attack.mitre.org/techniques/T0828). 


The German Federal Office for Information Security (BSI) reported a targeted attack on a steel mill under an incidents affecting business section of its 2014 IT Security Report. (Citation: BSI State of IT Security 2014)  These targeted attacks affected industrial operations and resulted in breakdowns of control system components and even entire installations. As a result of these breakdowns, massive impact and damage resulted from the uncontrolled shutdown of a blast furnace. 

A Polish student used a remote controller device to interface with the Lodz city tram system in Poland. (Citation: John Bill May 2017) (Citation: Shelley Smith February 2008) (Citation: Bruce Schneier January 2008) Using this remote, the student was able to capture and replay legitimate tram signals. This resulted in damage to impacted trams, people, and the surrounding property. Reportedly, four trams were derailed and were forced to make emergency stops. (Citation: Shelley Smith February 2008) Commands issued by the student may have also resulted in tram collisions, causing harm to those on board and the environment outside. (Citation: Bruce Schneier January 2008)",https://attack.mitre.org/techniques/T0879,21 May 2020,16 April 2025,ics-attack,1.1,Impact,,None,,"(Citation: Marshall Abrams July 2008),(Citation: A G Foord, W G Gulland, C R Howard, T Kellacher, W H Smith 2004),(Citation: Department of Homeland Security September 2016),,"
T0809,attack-pattern--493832d9-cea6-4b63-abe7-9a65a6473675,Data Destruction,"Adversaries may perform data destruction over the course of an operation. The adversary may drop or create malware, tools, or other non-native files on a target system to accomplish this, potentially leaving behind traces of malicious activities. Such non-native files and other data may be removed over the course of an intrusion to maintain a small footprint or as a standard part of the post-intrusion cleanup process. (Citation: Enterprise ATT&CK January 2018)

Data destruction may also be used to render operator interfaces unable to respond and to disrupt response functions from occurring as expected. An adversary may also destroy data backups that are vital to recovery after an incident.

Standard file deletion commands are available on most operating system and device interfaces to perform cleanup, but adversaries may use other tools as well. Two examples are Windows Sysinternals SDelete and Active@ Killdisk.",https://attack.mitre.org/techniques/T0809,21 May 2020,16 April 2025,ics-attack,1.0,Inhibit Response Function,,None,Matan Dobrushin - Otorio,"(Citation: Brubaker-Incontroller),(Citation: Claroty Fuxnet 2024),(Citation: Anton Cherepanov),(Citation: Dragos Inc. June 2017),(Citation: Wylie-22),(Citation: Dragos-Pipedream),(Citation: National Institute of Standards and Technology April 2013),,"
T0811,attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,Data from Information Repositories,"Adversaries may target and collect data from information repositories. This can include sensitive data such as specifications, schematics, or diagrams of control system layouts, devices, and processes. Examples of information repositories include reference databases in the process environment, as well as databases in the corporate network that might contain information about the ICS.(Citation: Cybersecurity & Infrastructure Security Agency March 2018)

Information collected from these systems may provide the adversary with a better understanding of the operational environment, vendors used, processes, or procedures of the ICS.

In a campaign between 2011 and 2013 against ONG organizations, Chinese state-sponsored actors searched document repositories for specific information such as, system manuals, remote terminal unit (RTU) sites, personnel lists, documents that included the string SCAD*, user credentials, and remote dial-up access information. (Citation: CISA AA21-201A Pipeline Intrusion July 2021)",https://attack.mitre.org/techniques/T0811,21 May 2020,16 April 2025,ics-attack,1.2,Collection,,None,,"(Citation: Symantec),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013),,"
T0893,attack-pattern--fa3aa267-da22-4bdd-961f-03223322a8d5,Data from Local System,"Adversaries may target and collect data from local system sources, such as file systems, configuration files, or local databases. This can include sensitive data such as specifications, schematics, or diagrams of control system layouts, devices, and processes.

Adversaries may do this using [Command-Line Interface](https://attack.mitre.org/techniques/T0807) or [Scripting](https://attack.mitre.org/techniques/T0853) techniques to interact with the file system to gather information. Adversaries may also use [Automated Collection](https://attack.mitre.org/techniques/T0802) on the local system. ",https://attack.mitre.org/techniques/T0893,30 March 2023,15 April 2025,ics-attack,1.0,Collection,,None,,"(Citation: Symantec),(Citation: ESET),(Citation: Kevin Savage and Branko Spasojevic),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013),,"
T0812,attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,Default Credentials,"Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed. (Citation: Keith Stouffer May 2015)

Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",https://attack.mitre.org/techniques/T0812,21 May 2020,16 April 2025,ics-attack,1.0,Lateral Movement,,None,,"(Citation: CISA Unitronics November 2023),(Citation: CISA AA23-335A IRGC-Affiliated December 2023),,,"
T0813,attack-pattern--e33c7ecc-5a38-497f-beb2-a9a2049a4c20,Denial of Control,"Adversaries may cause a denial of control to temporarily prevent operators and engineers from interacting with process controls. An adversary may attempt to deny process control access to cause a temporary loss of communication with the control device or to prevent operator adjustment of process controls. An affected process may still be operating during the period of control loss, but not necessarily in a desired state. (Citation: Corero) (Citation: Michael J. Assante and Robert M. Lee) (Citation: Tyson Macaulay)

In the 2017 Dallas Siren incident operators were unable to disable the false alarms from the Office of Emergency Management headquarters. (Citation: Mark Loveless April 2017)",https://attack.mitre.org/techniques/T0813,21 May 2020,15 April 2025,ics-attack,1.1,Impact,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Booz Allen Hamilton),(Citation: Marshall Abrams July 2008),(Citation: Anton Cherepanov, ESET June 2017),(Citation: National Institute of Standards and Technology April 2013),(Citation: M. Rentschler and H. Heine),(Citation: Department of Homeland Security October 2009),,"
T0814,attack-pattern--1b22b676-9347-4c55-9a35-ef0dc653db5b,Denial of Service,"Adversaries may perform Denial-of-Service (DoS) attacks to disrupt expected device functionality. Examples of DoS attacks include overwhelming the target device with a high volume of requests in a short time period and sending the target device a request it does not know how to handle. Disrupting device state may temporarily render it unresponsive, possibly lasting until a reboot can occur. When placed in this state, devices may be unable to send and receive requests, and may not perform expected response functions in reaction to other events in the environment. 

Some ICS devices are particularly sensitive to DoS events, and may become unresponsive in reaction to even a simple ping sweep. Adversaries may also attempt to execute a Permanent Denial-of-Service (PDoS) against certain devices, such as in the case of the BrickerBot malware. (Citation: ICS-CERT April 2017) 

Adversaries may exploit a software vulnerability to cause a denial of service by taking advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Vulnerabilities may exist in software that can be used to cause a denial of service condition. 

Adversaries may have prior knowledge about industrial protocols or control devices used in the environment through [Remote System Information Discovery](https://attack.mitre.org/techniques/T0888). There are examples of adversaries remotely causing a [Device Restart/Shutdown](https://attack.mitre.org/techniques/T0816) by exploiting a vulnerability that induces uncontrolled resource consumption. (Citation: ICS-CERT August 2018) (Citation: Common Weakness Enumeration January 2019) (Citation: MITRE March 2018) ",https://attack.mitre.org/techniques/T0814,21 May 2020,15 April 2025,ics-attack,1.1,Inhibit Response Function,,None,,"(Citation: CISA Unitronics November 2023),(Citation: ICS-CERT August 2018),(Citation: Frank Bajak and Marc Levy December 2023),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),(Citation: Claroty Fuxnet 2024),(Citation: Jamie Tarabay and Katrina Manson December 2023),(Citation: WPXI Aliquippa Water November 2023),(Citation: Ukraine15 - EISAC - 201603),(Citation: Anton Cherepanov, ESET June 2017),(Citation: CISA AA23-335A IRGC-Affiliated December 2023),,,"
T0815,attack-pattern--56ddc820-6cfb-407f-850b-52c035d123ac,Denial of View,"Adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ICS environment. This may manifest itself as a temporary communication failure between a device and its control source, where the interface recovers and becomes available once the interference ceases. (Citation: Corero) (Citation: Michael J. Assante and Robert M. Lee) (Citation: Tyson Macaulay) 

An adversary may attempt to deny operator visibility by preventing them from receiving status and reporting messages. Denying this view may temporarily block and prevent operators from noticing a change in state or anomalous behavior. The environment's data and processes may still be operational, but functioning in an unintended or adversarial manner. ",https://attack.mitre.org/techniques/T0815,21 May 2020,15 April 2025,ics-attack,1.1,Impact,,None,,"(Citation: Marshall Abrams July 2008),(Citation: Anton Cherepanov, ESET June 2017),(Citation: National Institute of Standards and Technology April 2013),(Citation: M. Rentschler and H. Heine),(Citation: Department of Homeland Security October 2009),,"
T0868,attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,Detect Operating Mode,"Adversaries may gather information about a PLCs or controllers current operating mode. Operating modes dictate what change or maintenance functions can be manipulated and are often controlled by a key switch on the PLC (e.g.,  run, prog [program], and remote). Knowledge of these states may be valuable to an adversary to determine if they are able to reprogram the PLC. Operating modes and the mechanisms by which they are selected often vary by vendor and product line. Some commonly implemented operating modes are described below:  

* Program - This mode must be enabled before changes can be made to a devices program. This allows program uploads and downloads between the device and an engineering workstation. Often the PLCs logic Is halted, and all outputs may be forced off. (Citation: N.A. October 2017)  
* Run - Execution of the devices program occurs in this mode. Input and output (values, points, tags, elements, etc.) are monitored and used according to the programs logic.[Program Upload](https://attack.mitre.org/techniques/T0845) and [Program Download](https://attack.mitre.org/techniques/T0843) are disabled while in this mode. (Citation: Omron) (Citation: Machine Information Systems 2007)  (Citation: N.A. October 2017) (Citation: PLCgurus 2021)   
* Remote - Allows for remote changes to a PLCs operation mode. (Citation: PLCgurus 2021)    
* Stop - The PLC and program is stopped, while in this mode, outputs are forced off. (Citation: Machine Information Systems 2007)   
* Reset - Conditions on the PLC are reset to their original states. Warm resets may retain some memory while cold resets will reset all I/O and data registers. (Citation: Machine Information Systems 2007)   
* Test / Monitor mode - Similar to run mode, I/O is processed, although this mode allows for monitoring, force set, resets, and more generally tuning or debugging of the system. Often monitor mode may be used as a trial for initialization. (Citation: Omron)",https://attack.mitre.org/techniques/T0868,21 May 2020,16 April 2025,ics-attack,1.0,Collection,,None,,"(Citation: MDudek-ICS),(Citation: Department of Homeland Security September 2016),,"
T0816,attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,Device Restart/Shutdown,"Adversaries may forcibly restart or shutdown a device in an ICS environment to disrupt and potentially negatively impact physical processes. Methods of device restart and shutdown exist in some devices as built-in, standard functionalities. These functionalities can be executed using interactive device web interfaces, CLIs, and network protocol commands.

Unexpected restart or shutdown of control system devices may prevent expected response functions happening during critical states.

A device restart can also be a sign of malicious device modifications, as many updates require a shutdown in order to take effect.",https://attack.mitre.org/techniques/T0816,21 May 2020,16 April 2025,ics-attack,1.1,Inhibit Response Function,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Booz Allen Hamilton),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Department of Homeland Security September 2016),,"
T0817,attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,Drive-by Compromise,"Adversaries may gain access to a system during a drive-by compromise, when a user visits a website as part of a regular browsing session. With this technique, the user's web browser is targeted and exploited simply by visiting the compromised website. 

The adversary may target a specific community, such as trusted third party suppliers or other industry specific groups, which often visit the target website. This kind of targeted attack relies on a common interest, and is known as a strategic web compromise or watering hole attack. 

The National Cyber Awareness System (NCAS) has issued a Technical Alert (TA) regarding Russian government cyber activity targeting critical infrastructure sectors. (Citation: Cybersecurity & Infrastructure Security Agency March 2018) Analysis by DHS and FBI has noted two distinct categories of victims in the Dragonfly campaign on the Western energy sector: staging and intended targets. The adversary targeted the less secure networks of staging targets, including trusted third-party suppliers and related peripheral organizations. Initial access to the intended targets used watering hole attacks to target process control, ICS, and critical infrastructure related trade publications and informational websites.",https://attack.mitre.org/techniques/T0817,21 May 2020,16 April 2025,ics-attack,1.0,Initial Access,,None,,"(Citation: Symantec Security Response July 2014),(Citation: Chris Bing May 2018),(Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017),(Citation: Eduard Kovacs May 2018),,,"
T0871,attack-pattern--5a2610f6-9fff-41e1-bc27-575ca20383d4,Execution through API,Adversaries may attempt to leverage Application Program Interfaces (APIs) used for communication between control software and the hardware. Specific functionality is often coded into APIs which can be called by software to engage specific functions on a device or other software.,https://attack.mitre.org/techniques/T0871,21 May 2020,16 April 2025,ics-attack,1.1,Execution,,None,,"(Citation: Jos Wetzels January 2018),(Citation: McCarthy, J et al. July 2018),(Citation: MITRE June 2020),,"
T0819,attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,Exploit Public-Facing Application,"Adversaries may leverage weaknesses to exploit internet-facing software for initial access into an industrial network. Internet-facing software may be user applications, underlying networking implementations, an assets operating system, weak defenses, etc. Targets of this technique may be intentionally exposed for the purpose of remote management and visibility.

An adversary may seek to target public-facing applications as they may provide direct access into an ICS environment or the ability to move into the ICS network. Publicly exposed applications may be found through online tools that scan the internet for open ports and services. Version numbers for the exposed application may provide adversaries an ability to target specific known vulnerabilities. Exposed control protocol or remote access ports found in Commonly Used Port may be of interest by adversaries.",https://attack.mitre.org/techniques/T0819,21 May 2020,16 April 2025,ics-attack,1.0,Initial Access,,None,,"(Citation: ICS-CERT December 2014),(Citation: ICS CERT September 2018),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013),,"
