source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
M0949,Antivirus/Antimalware,course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,mitigation,mitigates,T0864,Transient Cyber Asset,attack-pattern--35392fb4-a31d-4c6a-b9f2-1c65b7f5e6b9,technique,"Install anti-virus software on all workstation and transient assets that may have external access, such as to web, email, or remote file shares.
",relationship--6c15ec9f-2b48-419c-adc1-f989833f6187,14 October 2021,28 April 2025
M0949,Antivirus/Antimalware,course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,mitigation,mitigates,T0863,User Execution,attack-pattern--2736b752-4ec5-4421-a230-8977dea7649c,technique,"Ensure anti-virus solution can detect malicious files that allow user execution (e.g., Microsoft Office Macros, program installers).
",relationship--d3c94120-e6b5-4bd2-88f0-9c73f76b0104,21 September 2020,28 April 2025
M0913,Application Developer Guidance,course-of-action--8a3aadd0-b5f4-433a-800e-4893e4196bb7,mitigation,mitigates,T0859,Valid Accounts,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,technique,"Ensure that applications and devices do not store sensitive data or credentials insecurely (e.g., plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage). (Citation: CISA June 2013)
",relationship--b69f31c3-6c12-4b81-8e74-9c58ea635fa4,21 September 2020,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0817,Drive-by Compromise,attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,technique,"Built-in browser sandboxes and application isolation may be used to contain web-based malware.
",relationship--ca5c7ae7-5273-4888-bc50-183d6e200972,21 September 2020,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0819,Exploit Public-Facing Application,attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,technique,"Application isolation will limit the other processes and system features an exploited target can access. Examples of built in features are software restriction policies, AppLocker for Windows, and SELinux or AppArmor for Linux.
",relationship--e767c178-e4b2-490a-b544-bb1b2d6c7de4,21 September 2020,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0820,Exploitation for Evasion,attack-pattern--9f947a1c-3860-48a8-8af0-a2dfa3efde03,technique,"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Dan Goodin March 2017)
",relationship--7ff12adb-bc9a-42e5-9cbf-613b200c36dc,21 September 2020,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0890,Exploitation for Privilege Escalation,attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618,technique,"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Dan Goodin March 2017)
",relationship--5f03ee5d-534c-454c-aae3-b41130b00286,13 April 2021,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0866,Exploitation of Remote Services,attack-pattern--85a45294-08f1-4539-bf00-7da08aa7b0ee,technique,"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. (Citation: Dan Goodin March 2017)
",relationship--8fa6fe89-e704-4be4-a15b-50e188084aa3,21 September 2020,28 April 2025
M0948,Application Isolation and Sandboxing,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,mitigates,T0853,Scripting,attack-pattern--2dc2b567-8821-49f9-9045-8740f3d0b958,technique,"Consider the use of application isolation and sandboxing to restrict specific operating system interactions such as access through user accounts, services, system calls, registry, and network access. This may be even more useful in cases where the source of the executed script is unknown.
",relationship--2fffbea8-c031-4de8-a451-447bbbe3e224,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0830,Adversary-in-the-Middle,attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,technique,"Limit access to network infrastructure and resources that can be used to reshape traffic or otherwise produce AiTM conditions.
",relationship--b47dbc50-fd8f-4e5b-bb3d-e93b68bf5497,21 September 2020,16 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0811,Data from Information Repositories,attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,technique,"Consider periodic reviews of accounts and privileges for critical and sensitive repositories.
",relationship--2ff82993-5010-4450-89e7-341f449f3263,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0874,Hooking,attack-pattern--ab390887-afc0-4715-826d-b1b167d522ae,technique,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.
",relationship--b72b7dfd-f134-4324-84b8-52ff13fc6b5c,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0821,Modify Controller Tasking,attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,technique,"Provide the ability to verify the integrity of controller tasking. While techniques like CRCs and checksums are commonly used, they are not cryptographically secure and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used. (Citation: IEC February 2019)
",relationship--698d7c50-daab-4087-a7b4-b2bc8dfd81a7,13 April 2021,16 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0836,Modify Parameter,attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,technique,"Provide the ability to verify the integrity and authenticity of changes to parameter values.
",relationship--5bf8473c-3c60-4a8a-8514-c2b50ab8a92d,21 September 2020,16 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0889,Modify Program,attack-pattern--fc5fda7e-6b2c-4457-b036-759896a2efa2,technique,"Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used. (Citation: IEC February 2019)
",relationship--34ac1b1b-1103-4fc9-a62e-f1dd1451b28b,13 April 2021,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0839,Module Firmware,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,technique,"Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it to a trusted hash of the firmware. This could be from trusted data sources (e.g., vendor site) or through a third-party verification service.
",relationship--65a45501-10de-46a2-89bf-03bbf17aba33,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0843,Program Download,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,technique,"Provide the ability to verify the integrity of programs downloaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically secure and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used. (Citation: IEC February 2019)
",relationship--1c3d966a-5995-48ed-919d-25b972010fe9,21 September 2020,16 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0873,Project File Infection,attack-pattern--e72425f8-9ae6-41d3-bfdb-e1b865e60722,technique,"Review the integrity of project files to verify they have not been modified by adversary behavior. Verify a cryptographic hash for the file with a known trusted version, or look for other indicators of modification (e.g., timestamps).
",relationship--f9aa3364-a1eb-4776-ae03-c39b250545a0,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0851,Rootkit,attack-pattern--3b6b9246-43f8-4c69-ad7a-2b11cfe0a0d9,technique,"Audit the integrity of PLC system and application code functionality, such as the manipulation of standard function blocks (e.g., Organizational Blocks) that manage the execution of application logic programs. (Citation: IEC February 2019)
",relationship--5de6bf53-0a02-439b-a8d0-248fa9640a36,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0862,Supply Chain Compromise,attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3,technique,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.
",relationship--0491ef92-2941-4841-9fe6-2e1809788b52,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0857,System Firmware,attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,technique,"Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it to a trusted hash of the firmware. This could be from trusted data sources (e.g., vendor site) or through a third-party verification service.
",relationship--04fa6b94-d633-40ff-9ab2-88f58c07c3e1,21 September 2020,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0864,Transient Cyber Asset,attack-pattern--35392fb4-a31d-4c6a-b9f2-1c65b7f5e6b9,technique,"Integrity checking of transient assets can include performing the validation of the booted operating system and programs using TPM-based technologies, such as Secure Boot and Trusted Boot. (Citation: Emerson Exchange) It can also include verifying filesystem changes, such as programs and configuration files stored on the system, executing processes, libraries, accounts, and open ports.   (Citation: National Security Agency February 2016)
",relationship--5041e17d-6349-4589-8c61-7b43964b5f9b,14 October 2021,28 April 2025
M0947,Audit,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,mitigation,mitigates,T0859,Valid Accounts,attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,technique,"Routinely audit source code, application configuration files, open repositories, and public cloud storage for insecure use and storage of credentials.
",relationship--baf7daf3-2116-4051-91b5-f82e146167d0,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0800,Activate Firmware Update Mode,attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,technique,"Restrict configurations changes and firmware updating abilities to only authorized individuals.
",relationship--ff3f0668-98df-44c1-88c2-711f05720eb8,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0858,Change Operating Mode,attack-pattern--2883c520-7957-46ca-89bd-dab1ad53b601,technique,"All field controllers should restrict operating mode changes to only required authenticated users (e.g., engineers, field technicians), preferably through implementing a role-based access mechanism. Further, physical mechanisms (e.g., keys) can also be used to limit unauthorized operating mode changes.
",relationship--eeeff03f-7436-4f76-8591-42075e6647d4,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0868,Detect Operating Mode,attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,technique,"All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.
",relationship--b8f6d6a8-e668-4596-8ec2-41c5d1bd211d,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0816,Device Restart/Shutdown,attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,technique,"All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.
",relationship--6b5fd6d8-ef70-4896-b1a4-7b6c29c3a0d4,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0871,Execution through API,attack-pattern--5a2610f6-9fff-41e1-bc27-575ca20383d4,technique,"All APIs used to perform execution, especially those hosted on embedded controllers (e.g., PLCs), should provide adequate authorization enforcement of user access. Minimize user's access to only required API calls. (Citation: MITRE June 2020)
",relationship--754521fc-4306-4daa-831b-6b6fb45847e2,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0838,Modify Alarm Settings,attack-pattern--e5de767e-f513-41cd-aa15-33f6ce5fbf92,technique,"Only authorized personnel should be able to change settings for alarms.
",relationship--6b5d2643-b399-43aa-8ab1-7557a0446b07,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0821,Modify Controller Tasking,attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,technique,"All field controllers should restrict the modification of controller tasks to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.",relationship--4653847b-c089-4435-9159-6f76353833f7,25 September 2023,16 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0836,Modify Parameter,attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,technique,"All field controllers should restrict the modification of parameter values to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism. They should also restrict online edits and enable write protection for parameters. 
",relationship--e6be2fb4-3815-4e52-8dec-2aed1dc3b7cf,21 September 2020,16 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0889,Modify Program,attack-pattern--fc5fda7e-6b2c-4457-b036-759896a2efa2,technique,"All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.",relationship--d2a434c7-4428-435e-ae6b-e54012f29606,25 September 2023,16 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0861,Point & Tag Identification,attack-pattern--25852363-5968-4673-b81d-341d5ed90bd1,technique,"Systems and devices should restrict access to any data with potential confidentiality concerns, including point and tag information.
",relationship--243ad7b2-546c-4bf2-a3c0-1438b13e197d,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0843,Program Download,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,technique,"All field controllers should restrict the download of programs, including online edits and program appends, to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.
",relationship--a7caa7f2-cfb9-4fc9-ae8d-49349b6c260f,21 September 2020,16 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0845,Program Upload,attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,technique,"All field controllers should restrict program uploads to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.
",relationship--5ae1cf3a-2603-4bf9-ace3-5b1ee5d8d757,21 September 2020,28 April 2025
M0800,Authorization Enforcement,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,mitigation,mitigates,T0886,Remote Services,attack-pattern--e1f9cdd2-9511-4fca-90d7-f3e92cfdd0bf,technique,"Provide privileges corresponding to the restriction of a GUI session to control system operations (examples include HMI read-only vs. read-write modes). Ensure local users, such as operators and engineers, are giving prioritization over remote sessions and have the authority to regain control over a remote session if needed. Prevent remote access sessions (e.g., RDP, VNC) from taking over local sessions, especially those used for ICS control, especially HMIs.
",relationship--4966e63c-ca05-466d-91f9-41d799a54471,12 April 2021,28 April 2025
M0946,Boot Integrity,course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,mitigation,mitigates,T0839,Module Firmware,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,technique,"Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: N/A) Move system's root of trust to hardware to prevent tampering with the SPI flash memory. (Citation: ESET Research Whitepapers September 2018) Technologies such as Intel Boot Guard can assist with this. (Citation: Intel)
",relationship--0c284ce0-0be2-4164-b686-7c383b246aec,21 September 2020,16 April 2025
M0946,Boot Integrity,course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,mitigation,mitigates,T0857,System Firmware,attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,technique,"Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: N/A) Move system's root of trust to hardware to prevent tampering with the SPI flash memory. (Citation: ESET Research Whitepapers September 2018) Technologies such as Intel Boot Guard can assist with this. (Citation: Intel)
",relationship--a47cd7b9-2b73-480c-a8ab-2dfa908e02ea,21 September 2020,16 April 2025
M0945,Code Signing,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,mitigation,mitigates,T0849,Masquerading,attack-pattern--ba203963-3182-41ac-af14-7e7ebc83cd61,technique,"Require signed binaries.
",relationship--b9e82422-b072-494f-99c1-fcab07b90133,21 September 2020,28 April 2025
M0945,Code Signing,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,mitigation,mitigates,T0821,Modify Controller Tasking,attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,technique,"Utilize code signatures to verify the integrity and authenticity of programs installed on safety or control assets, including the associated controller tasking.
",relationship--973f5884-a076-413e-ac96-f0bd01375fb6,13 April 2021,16 April 2025
M0945,Code Signing,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,mitigation,mitigates,T0889,Modify Program,attack-pattern--fc5fda7e-6b2c-4457-b036-759896a2efa2,technique,"Utilize code signatures to verify the integrity and authenticity of programs installed on safety or control assets.
",relationship--a91002fe-21b2-4417-9c23-af712a7a035c,13 April 2021,16 April 2025
M0945,Code Signing,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,mitigation,mitigates,T0839,Module Firmware,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,technique,"Devices should verify that firmware has been properly signed by the vendor before allowing installation.
",relationship--46332a77-2fd6-4033-96cf-6163172775ec,21 September 2020,28 April 2025
